,CustomerID,frequency,monetary_value,recency
0,12346.0,2,0.0,325
1,12347.0,182,4310.0,1
2,12348.0,31,1797.24,74
3,12349.0,73,1757.55,18
4,12350.0,17,334.4,309
5,12352.0,95,1545.41,35
6,12353.0,4,89.0,203
7,12354.0,58,1079.4,231
8,12355.0,13,459.4,213
9,12356.0,59,2811.43,22
10,12357.0,131,6207.67,32
11,12358.0,19,1168.06,1
12,12359.0,254,6245.53,7
13,12360.0,129,2662.06,51
14,12361.0,10,189.9,286
15,12362.0,274,5154.58,2
16,12363.0,23,552.0,109
17,12364.0,85,1313.1,7
18,12365.0,23,320.69,290
19,12367.0,11,168.9,3
20,12370.0,167,3545.69,50
21,12371.0,63,1887.96,44
22,12372.0,52,1298.04,71
23,12373.0,14,364.6,310
24,12374.0,33,742.9300000000001,24
25,12375.0,18,455.42,2
26,12377.0,77,1628.12,314
27,12378.0,219,4008.62,129
28,12379.0,41,850.29,81
29,12380.0,105,2720.56,21
30,12381.0,91,1803.96,4
31,12383.0,100,1839.31,184
32,12384.0,30,566.16,28
33,12386.0,10,401.9,337
34,12388.0,100,2780.66,15
35,12390.0,32,549.84,79
36,12391.0,100,460.89,21
37,12393.0,64,1582.6000000000001,71
38,12394.0,27,1272.48,63
39,12395.0,159,2998.28,15
40,12397.0,126,2409.9,35
41,12398.0,85,1635.6599999999999,45
42,12399.0,59,1108.65,118
43,12401.0,5,84.3,302
44,12402.0,11,225.6,322
45,12403.0,6,409.7,49
46,12405.0,54,1710.39,148
47,12406.0,108,3280.75,21
48,12407.0,77,1708.1200000000001,49
49,12408.0,113,2842.57,32
50,12409.0,114,11056.93,78
51,12410.0,28,681.0799999999999,300
52,12412.0,61,1226.88,74
53,12413.0,40,694.15,66
54,12414.0,18,562.41,216
56,12417.0,198,3578.8,2
57,12418.0,34,668.58,112
58,12420.0,29,600.39,63
59,12421.0,46,806.27,15
60,12422.0,39,803.5600000000001,95
61,12423.0,126,1849.11,0
62,12424.0,30,1760.96,162
63,12425.0,36,777.2,77
64,12426.0,30,582.73,194
65,12427.0,35,708.37,11
66,12428.0,300,7877.2,25
67,12429.0,97,3750.4,8
68,12430.0,11,256.4,42
69,12431.0,240,6416.39,35
70,12432.0,108,5059.32,42
71,12433.0,420,13375.87,0
72,12434.0,54,765.19,84
73,12435.0,36,7829.89,79
74,12436.0,16,509.01,99
75,12437.0,201,4896.66,1
76,12438.0,98,2906.85,13
77,12441.0,11,173.55,366
78,12442.0,12,172.06,2
79,12444.0,177,5005.46,20
80,12445.0,4,133.4,21
81,12446.0,58,1002.3100000000001,57
82,12447.0,26,476.49,242
83,12448.0,22,449.45,43
84,12449.0,191,4067.29,21
85,12450.0,8,197.88,155
86,12451.0,355,8933.52,10
87,12452.0,23,428.57,16
88,12453.0,43,707.09,133
89,12454.0,30,5.684341886080802e-14,52
90,12455.0,90,2466.86,72
91,12456.0,129,3153.89,43
92,12457.0,68,1917.78,57
93,12458.0,38,947.4,70
94,12461.0,35,826.88,93
95,12462.0,72,1124.01,1
96,12463.0,88,1303.63,45
97,12464.0,29,1212.05,9
98,12465.0,51,733.89,7
99,12468.0,40,724.0400000000001,142
101,12472.0,391,6229.48,30
102,12473.0,179,2848.23,28
103,12474.0,457,7116.47,16
104,12475.0,36,723.38,53
105,12476.0,264,6546.58,0
106,12477.0,308,13117.01,22
107,12478.0,36,680.99,3
108,12479.0,35,477.3,3
109,12480.0,154,3281.63,27
110,12481.0,218,5590.86,22
111,12483.0,81,2327.13,16
112,12484.0,350,4495.27,32
113,12488.0,55,1298.66,9
114,12489.0,15,334.93,335
115,12490.0,245,5417.93,4
116,12491.0,26,460.40000000000003,38
117,12492.0,20,263.21000000000004,62
118,12493.0,23,416.79,165
119,12494.0,84,1139.3500000000001,9
120,12497.0,14,1043.1,81
121,12498.0,23,403.70000000000005,20
122,12500.0,65,4206.27,22
123,12501.0,160,2089.68,314
124,12502.0,147,3723.87,95
125,12503.0,1,-1126.0,337
126,12504.0,15,114.0,17
127,12505.0,1,-4.5,300
128,12506.0,23,73.5,232
129,12507.0,23,1258.06,133
130,12508.0,69,398.27,25
131,12509.0,7,176.5,283
132,12510.0,33,982.5699999999999,142
133,12512.0,34,138.03,65
134,12513.0,36,586.79,84
135,12514.0,51,1017.68,266
136,12515.0,16,383.7,352
137,12516.0,26,1312.06,77
138,12517.0,286,2464.89,27
139,12518.0,124,2056.89,0
140,12519.0,18,340.84,63
141,12520.0,155,2582.51,78
142,12521.0,38,599.68,142
143,12522.0,12,192.72,38
144,12523.0,110,1745.57,1
145,12524.0,144,4485.72,8
146,12526.0,71,1316.66,0
147,12527.0,18,348.71000000000004,81
148,12528.0,95,1922.28,8
149,12530.0,68,1623.63,59
150,12531.0,17,125.22,14
151,12532.0,16,349.83000000000004,29
152,12534.0,63,1089.18,130
153,12535.0,34,716.35,91
154,12536.0,273,4106.82,7
155,12538.0,21,363.95,28
156,12539.0,274,3852.5,21
157,12540.0,481,13309.039999999999,19
158,12541.0,52,981.18,29
159,12544.0,20,355.7,29
160,12545.0,50,1000.39,74
161,12546.0,70,1141.5,46
162,12547.0,8,207.79999999999998,197
163,12548.0,5,95.19999999999999,165
164,12550.0,57,964.83,78
165,12551.0,10,168.0,357
166,12552.0,20,437.82,38
167,12553.0,196,3652.25,7
168,12556.0,121,603.71,49
169,12557.0,33,11990.960000000001,15
170,12558.0,22,1.0658141036401503e-14,1
171,12559.0,22,536.21,310
172,12560.0,111,2101.39,4
173,12561.0,16,238.85,302
174,12562.0,168,3781.7400000000002,7
175,12564.0,21,456.9,260
176,12565.0,10,131.17,281
177,12566.0,20,346.7,72
178,12567.0,463,9114.94,22
179,12569.0,191,4064.9900000000002,1
180,12571.0,34,519.61,39
181,12572.0,62,1004.72,8
182,12573.0,28,160.54000000000002,226
183,12574.0,11,218.45,315
184,12576.0,89,1306.98,35
185,12577.0,148,595.4,34
186,12578.0,120,2753.36,20
187,12579.0,31,410.72,72
188,12580.0,24,415.7,246
189,12581.0,15,197.71,39
190,12582.0,22,511.36,238
191,12583.0,251,7187.34,2
192,12584.0,126,1893.95,3
193,12585.0,97,1982.81,233
194,12586.0,12,179.94000000000003,16
195,12587.0,4,144.0,7
196,12588.0,10,214.89999999999998,38
197,12589.0,35,646.68,28
198,12590.0,70,9861.38,189
199,12591.0,26,452.84999999999997,316
200,12592.0,18,437.6,91
201,12593.0,21,418.09999999999997,108
202,12594.0,119,3320.2200000000003,37
203,12596.0,27,618.27,50
204,12597.0,214,3683.13,18
205,12598.0,133,3002.68,9
206,12599.0,62,1032.58,28
207,12600.0,65,2581.04,28
208,12601.0,29,569.5600000000001,189
209,12602.0,12,153.12,58
210,12603.0,3,739.1999999999999,21
211,12604.0,16,254.18,78
212,12605.0,3,-7.5,364
213,12607.0,202,3.552713678800501e-15,57
214,12609.0,60,1126.85,77
215,12610.0,111,2057.99,22
216,12611.0,65,1193.32,51
217,12612.0,21,643.59,57
218,12613.0,163,3218.98,30
219,12614.0,20,315.6,277
220,12615.0,105,2291.19,1
221,12616.0,36,657.25,84
222,12617.0,42,355.53,28
223,12618.0,11,177.31,21
224,12619.0,95,3214.81,15
225,12620.0,92,1339.41,14
226,12621.0,474,13612.07,1
227,12622.0,11,180.1,231
228,12623.0,18,305.1,275
229,12624.0,38,641.13,105
230,12625.0,91,2614.32,211
231,12626.0,307,6388.35,22
232,12627.0,230,4478.53,10
233,12628.0,43,769.61,3
234,12630.0,64,1270.88,9
235,12631.0,31,640.5,56
236,12633.0,103,2140.63,58
237,12635.0,101,1689.18,89
238,12637.0,394,5953.25,66
239,12638.0,39,671.69,32
240,12639.0,22,486.1,238
241,12640.0,53,1174.58,23
242,12641.0,10,185.9,114
243,12642.0,47,1013.26,24
244,12643.0,24,3344.64,127
245,12644.0,31,477.91,129
246,12645.0,74,1755.38,33
247,12646.0,45,1346.97,4
248,12647.0,128,3669.92,21
249,12648.0,21,318.05,154
250,12649.0,33,603.71,106
251,12650.0,20,314.44,2
252,12651.0,9,114.0,334
253,12652.0,51,914.53,321
254,12653.0,43,2209.85,148
255,12654.0,38,601.98,10
256,12656.0,130,3982.72,16
257,12657.0,56,1152.06,10
258,12658.0,36,686.05,18
259,12659.0,5,91.68,29
260,12660.0,13,245.1,10
261,12662.0,232,3817.08,0
262,12664.0,38,4863.88,7
263,12665.0,4,61.75,324
264,12666.0,2,-227.44,358
265,12667.0,33,620.13,57
266,12668.0,168,3743.18,6
267,12669.0,102,1607.73,150
268,12670.0,94,2986.15,9
269,12672.0,10,225.89999999999998,329
270,12673.0,42,610.52,4
271,12674.0,91,1919.31,11
272,12676.0,45,1331.39,24
274,12679.0,56,1058.67,51
275,12680.0,52,862.81,0
276,12681.0,646,13677.59,14
277,12682.0,525,12288.22,3
278,12683.0,362,8221.09,3
279,12684.0,105,2283.63,7
280,12685.0,157,2863.08,27
281,12686.0,7,89.14,371
282,12688.0,171,4873.8099999999995,113
283,12689.0,72,1247.61,25
284,12690.0,16,389.01,205
285,12691.0,32,1035.8,27
286,12693.0,41,830.96,120
287,12694.0,37,869.67,69
288,12695.0,27,582.1,6
289,12697.0,43,939.02,20
290,12700.0,270,4867.99,7
291,12701.0,53,797.71,79
292,12702.0,12,219.0,19
293,12703.0,22,274.7,63
294,12704.0,90,2220.84,6
295,12705.0,348,6814.24,14
296,12707.0,33,603.42,291
297,12708.0,174,2616.32,29
298,12709.0,257,9294.1,2
299,12710.0,79,1130.57,96
300,12712.0,142,4241.63,22
301,12713.0,38,848.55,0
302,12714.0,259,4708.86,8
303,12715.0,21,353.86,105
304,12716.0,69,1053.49,3
305,12717.0,56,980.98,150
306,12718.0,19,238.25,70
307,12719.0,42,608.1,4
308,12720.0,359,5713.28,2
309,12721.0,164,2628.98,31
310,12722.0,57,904.33,84
311,12723.0,69,725.07,3
312,12724.0,53,1031.41,4
313,12725.0,24,427.8,370
314,12726.0,124,2609.1,27
315,12727.0,141,3947.7,10
316,12728.0,46,836.33,70
317,12729.0,26,453.01,113
319,12732.0,12,236.26000000000002,179
320,12733.0,22,383.95,233
321,12734.0,4,110.39999999999999,352
322,12735.0,43,779.5699999999999,314
323,12736.0,4,234.0,332
324,12738.0,11,155.35,371
325,12739.0,38,1013.04,77
326,12740.0,27,427.6,63
327,12743.0,134,546.43,133
328,12744.0,229,9120.39,51
329,12747.0,103,4196.01,1
331,12749.0,231,3868.2,3
332,12750.0,15,275.88,128
333,12752.0,53,4366.78,80
335,12754.0,65,2949.12,235
336,12755.0,6,2203.2,249
337,12756.0,4,112.07999999999998,86
338,12757.0,377,4227.7,15
339,12758.0,97,2791.59,116
340,12759.0,95,1531.44,51
341,12762.0,69,1898.52,7
342,12763.0,18,494.08,137
343,12764.0,45,1693.88,316
344,12766.0,310,6989.63,3
345,12769.0,32,1143.6,238
346,12770.0,12,1351.45,210
347,12772.0,55,892.47,59
348,12775.0,67,1351.24,16
349,12778.0,51,804.23,19
350,12779.0,159,3868.7,20
351,12781.0,30,707.72,20
352,12782.0,107,2273.32,4
353,12783.0,86,1603.87,1
354,12784.0,59,574.42,8
355,12785.0,15,305.71,2
