Группа;Любимый предмет в школе;Нравиться учится по направлению ИСТ?;По вашему мнению, кто такой программист?;Какие ожидания от обучения?;Посоветуйте интересные фильмы;Какими языками программирования владеете?;Как Вы оцениваете свои знания английского языка?;Любимый вид спорта
ИСТ-22;ОБЖ;Решил(а) попробовать себя в программировании, а вдруг получится;Человек занимающийся разработкой программ;Буду разбираться в программах;Форсаж;Python, Pascal;Пользуюсь онлаин переводчиком;Футбол
ИСТ-22;Информатика, математика;Да;Человек, который разбирается в информационных системах, занимается разработкой ;Не было определенных ожиданий ;Матрица;C++, Pascal;Читаю;Волейбол
ИСТ-22;Информатмка и физика;Да;Создатель или редактор;Хорошие;Достать ножи;C#, Pascal, Изучал(а), но забыл(а);Читаю;Хоккей
ИСТ-21;Физра;Да;Разоботчик програм;Что будет не прям сложно;Оно;Python, C++;Вообще не понимаю;Рафтинг
ИСТ-21;Литература;Да;Человек, который разрабатывает будущее;Надеюсь получится знания для получения достойно платы за труд;Седьмой спутник, Сибириада, Броненосец Потемкин.;Никакими;Свободно понимаю речь;Нет
ИСТ-22;Физкультура ;Да;_;Получить знания ;Форсаж ;Python, C++, Pascal, Изучал(а), но забыл(а);Читаю;Бокс, арб 
ИСТ-22;Обществознание;Да;Разработчик исходного кода программы;Позитивные;Бегущий по лезвию;Изучал(а), но забыл(а);Пользуюсь онлаин переводчиком;Шахматы
ИСТ-21;Информатика;Да;Тот кто создаёт и проектирует программы и приложения для разных устройств.;Оптимистичные;Я очень редко смотрю фильмы, мне нечего посоветовать.;Никакими;Пользуюсь онлаин переводчиком;Плавание 
ИСТ-21;Информатика;Да;Человек который пишет программы;Узнать больше языков программирования;-;C++;Читаю;Бег
ИСТ-22;физкультура;Решил(а) попробовать себя в программировании, а вдруг получится;тот кто разбирается в компьютерах;закончить обучение ;мальчишник в вегасе ;Никакими;Читаю;баскетбол
ИСТ-22;физкультура;Решил(а) попробовать себя в программировании, а вдруг получится;я;хорошие;интерстеллар;Никакими;Читаю;шахматы
ИСТ-22;Физика ;Да;Человек который занимается програминованием, разрабатывает сайты, программы, приложения ;Хорошие ;Интерстеллар, одарённая, вемя, патруль времени, нерв, кингсман, король вечеринок ;Python;Пользуюсь онлаин переводчиком;Волейбол
ИСТ-22;Математика ;Решил(а) попробовать себя в программировании, а вдруг получится;Специалист в сфере IT;Высокие;Клинок рассекающий демонов, (что то с поездом) ;Изучал(а), но забыл(а);Пользуюсь онлаин переводчиком;Кибер спорт
ИСТ-22;Химия;Решил(а) попробовать себя в программировании, а вдруг получится;Разработчик и редактор;Продуктивное обучение;Доктор кто;Никакими;Пользуюсь онлаин переводчиком;Не очень люблю спорт
ИСТ-22;Химия ;Да;Хацкер;Высшее ;6 демонов Эмили Роуз;Java, Pascal, Изучал(а), но забыл(а);Читаю;Активный 
ИСТ-22;Информатика ;Да;Специалист, занимающийся разработкой разнообразного ПО;Никаких особых ожиданий не имею ;12 стульев, заводной апельсин, 1+1;Python, Pascal, Изучал(а), но забыл(а), Мат лаб ;Свободно понимаю речь;Интересуюсь только киберспортом, но если выбирать из классических видов - шахматы
ИСТ-22;история;Решил(а) попробовать себя в программировании, а вдруг получится;тот, кто создаёт и обслуживает программы ;получить интересный опыт и приобрести профессию ;славные парни (1990), укрощение строптивого (1980), побег из шоушенка (1994), сталкер (1979);Pascal;Пользуюсь онлаин переводчиком;футбол 
ИСТ-22;обж;Решил(а) попробовать себя в программировании, а вдруг получится;чувачок который программирует;большие;Зеленая книга;Python, Pascal, Изучал(а), но забыл(а);Читаю;щахматы
ИСТ-22;Математика;Да;Программист - разработчик по, сайтов, различных программ;Думаю, что будет нелегко, но интересно;Великий Гэтсби, Титаник, Она видела небо, Фантастические Твари, Гарри Поттер;Python;Читаю;Теннис
ИСТ-22;Математика;Да;Человек, который разрабатывает разные программы, софты, приложения, ПО, пишет коды на разных языках программирования.Большую часть времени он проводит за компьютером.;Надеюсь что обучаться будет интересно, предметы будушее сильно сложные и учителя будут классные.;Джанго освобождённый, Форест Гамб, стрелок, не смотрите наверх, король Ричард, боец;Никакими;Вообще не понимаю;Волейбол
ИСТ-22;Химия;Да;Айтишник;Положительное ;Заклятие. По воле дьявола;Scratch, Python, Java;Пользуюсь онлаин переводчиком;Пауэрлифтинг
ИСТ-22;Информатика;Решил(а) попробовать себя в программировании, а вдруг получится;Крутой чел;Да;С Джеки Чаном;Никакими, Python, Pascal;Пользуюсь онлаин переводчиком;Киберспорт
ИСТ-22;Физра;Да;Разработчик;Досстич успехов;Марвел;Изучал(а), но забыл(а);Пользуюсь онлаин переводчиком;Баскетболл
ИСТ-22;Черчение;Да;Человек, занимающийся созданием программ;Оптимистичные;Помни, вход в пустоту, семь, остров проклятых…;Никакими;Пользуюсь онлаин переводчиком;нет
ИСТ-21;Информатика;Да;Тот кто создает программы;Хорошие;Драйв, Гнев человеческий;Pascal;Читаю;Велоспорт
ИСТ-21;Информатика;Да;Человек, создающий программы, обеспечения, приложения;Хочется обучиться всему, как можно лучше, чтобы материал давался легко, быстро и интересно. ;"Один из самых интересных мне, ""Лемони Сникет: 33 несчастья""";Изучал(а), но забыл(а);Читаю;Гольф
ИСТ-21;Физкультура;Решил(а) попробовать себя в программировании, а вдруг получится;Человек, который работает с компьютером, пишет программы ;Надеюсь хорошо обучиться программированию ;"Большой куш; Карты, деньги два ствола; Криминальное чтиво.";Никакими;Пользуюсь онлаин переводчиком;Катание на велосипеде 
ИСТ-21;Математика ;Решил(а) попробовать себя в программировании, а вдруг получится;Человек, который разбирается в любом программном обеспечение ;Стать специалистом в сфере IT;Круэлла;Никакими;Пользуюсь онлаин переводчиком;Йога 
ИСТ-21;Русский язык;Решил(а) попробовать себя в программировании, а вдруг получится;Мегамозг с красными глазами, двигатель прогресса;Научиться чему-то для себя и для лучшего выживания в этом мире;Бивень, Человеческая многоножка, Я плюю на ваши могилы, Поворот не туда;Питон на уровне ЕГЭ;Читаю;Бадминтон (играл 1 раз)
ИСТ-21;Английский язык, информатика;Да;Человек, который занимается написанием, проектированием и дизайном программ;Хочу научиться азам программирования, в будущем стать программистом;Даун Хаус, Большой Лебовски;;Свободно понимаю речь;Футбол
ИСТ-21;алгебра;Да;тот, кто пишет код;будет трудно, но интересно ;Гарри Поттер :);Никакими;Пользуюсь онлаин переводчиком;фигурное катание 
ИСТ-21;Русский язык;Решил(а) попробовать себя в программировании, а вдруг получится;Человек, который умеет создавать программы, пишет для них коды и т.д.;Научиться создавать сайты, приложения;Исходный код, Звездные войны, Пираты Карибского моря, Убийство в Восточном экспрессе;Никакими, Изучал(а), но забыл(а);Пользуюсь онлаин переводчиком; Воркаут, обожаю коньки
