,content,at,score
0,this is not good where is Pakistan flag y u dont game Pakistani flag i want flag,2022-03-08 14:31:54,2
1,I..am always happy...game controller very good...tnq..,2021-03-01 05:14:22,2
2,I cant open my coc after the update. Why this is happening? Im excited to see the new update but disappointed that i cannot open it.,2021-04-12 23:50:57,1
3,Supercell no comment for this just make an in-game Mike in brawl stars i will give 5 stars,2021-05-01 10:45:40,4
4,Brilliant 💯💯,2022-02-16 17:16:11,5
5,Fine,2021-01-20 23:13:15,2
6,When I'm currently in town hall 9 but when searching an oponent in campaign it always brought me in th10 oponent base. Fix this 🙄,2022-02-16 13:41:34,1
7,Hi Hi Oh Oh,2021-09-27 12:22:41,4
8,Zoybol bu. 3 yilda bir marta ratushani kôtarib turibdi. Tóxtatinglar endi . Buldi ôyinni yóq qilib tashaveringlar endi,2021-10-19 16:52:56,1
9,This game is so Nice.I love this game,2022-02-25 12:07:19,4
10,Very good strategy,2022-02-27 17:36:35,5
11,"After this new update was installed, the game does not load. It continues to give a notification about the new update.",2022-02-17 02:09:12,3
12,Vara level,2022-03-01 15:26:25,5
13,"One of my accounts is in a dead lvl13 clan .All players in the clan are inactive.I wonder how to get the leader.I have tried to say something in the clan,request troops (havent receive Any) and attack. I've been active for 1 month but nothing happen. How can i become a leader?",2021-03-15 14:32:40,4
14,Booooo,2021-08-28 00:36:42,1
15,V.good,2021-04-22 07:17:11,4
16,Nice game,2022-01-06 02:48:04,4
17,Gudd,2021-01-08 14:19:42,4
18,This is not working in my phone in vivo why,2021-05-22 11:17:12,1
19,Better game,2021-11-20 06:00:38,4
20,It's experience me a lot of GamePlay to introduce myself. ❤️❤️,2022-01-03 11:39:49,4
21,I like this,2022-01-25 00:32:12,5
22,It's fun if you don't like control of your troops. You put the down and then they just do what they want. You don't control anything. You don't get to tell them which targets to attack. MAKE A TARGET SPELL AT LEAST!!!!!!,2021-02-28 06:05:47,1
23,Like that but the only problem is that the upgrade takes to much time and the game will become boring.,2022-02-16 15:47:22,4
24,Hog riders,2022-02-03 23:58:31,5
25,Nice game,2020-12-14 03:19:51,4
26,This is good game,2021-08-16 01:59:46,3
27,Excellent game,2022-01-21 13:23:02,5
28,My patient increase from the day I have installed it in my tab.,2022-02-17 13:58:58,5
29,"Ippothaiku paravaala , inime paappom",2021-05-30 16:36:29,3
30,Good experience,2021-07-19 12:12:36,4
31,The game is not that bad but it always is not connected and the game also but otherwise it is pretty fun,2021-09-27 15:28:56,4
32,Op Gamss,2021-04-14 02:01:29,1
33,good,2022-03-08 11:29:03,5
34,Nice game,2021-08-27 17:27:50,1
35,unable to update coc,2021-06-15 16:35:29,3
36,🥰op game,2022-02-25 10:33:01,5
37,It's family friendly,2022-01-25 19:47:53,5
38,Some time becomes boring but I like to play,2022-03-06 03:48:37,5
39,This game is amazing,2022-02-16 16:09:12,5
40,i lost my account when the supercell id update was come. i tried alot but didn't got back my account..now someone else playing from my account it was th 11 fully maxed. i spent so many years to max that one. but now that was not in my hand... its very bad that even supercell didn't helped me i have pictures of my account with player tag....clan and etc.. but no help.... so its is bad very bad,2021-02-17 02:38:32,1
41,Free fire,2022-01-19 05:44:18,4
42,I give clash of clans 1star rate because of update i can not login in my account,2021-04-27 09:32:59,1
43,Its good but the upgrades take to long everything else is good,2022-02-16 20:47:01,4
44,Nice apps it not a bored to play me,2022-02-17 14:31:35,5
45,Super,2021-08-16 00:54:58,4
46,very cool man is the right person,2020-12-20 05:20:55,3
47,Its a good game for me,2022-02-16 22:59:23,5
48,Gold passes should only cost gems so we can get some extra loot too,2021-10-20 03:29:44,1
49,Hit it fit hospitaljhggj L,2021-08-05 05:42:35,1
50,Good,2022-02-16 13:22:49,5
51,Good game,2022-02-24 08:39:32,5
52,Just best experienced game I played and strategial game I love COC by heart CLASH ON...,2022-02-25 19:01:35,5
53,Yuann,2021-03-26 23:26:24,4
54,My favourite game 😄♥️,2022-02-10 17:19:19,4
55,Nice game,2022-02-17 00:37:34,5
56,No longer works Keeps asking to update even tho it's up to date,2021-09-28 00:44:37,1
57,Over all game is brilliant but the upgrades take too much time I think coc should improve it,2022-01-14 18:15:31,3
58,Great!,2020-12-15 11:02:53,3
59,Iool game Ade xsc,2021-04-06 08:47:35,2
60,I love this game,2022-01-20 10:48:20,5
61,I hope that we can earn while playing coc...just like other games..,2022-03-14 11:41:23,5
62,From this game we have know about our skills for war and the thinking and attacking power,2022-02-08 09:07:05,5
63,Good game,2022-02-16 13:37:51,4
64,Wow,2021-05-10 01:33:50,4
65,Dis game is very nice and very compotable to play,2022-03-07 00:37:43,5
66,Its ok so far but i hate buying packs then someone steals my hard earned money,2021-03-15 20:44:39,4
67,Oo,2022-02-27 07:40:02,5
68,It's sad that they removed the global chat. It felt like the game is dead or something. I hope they return the global chat.,2021-11-19 14:27:08,3
69,Always slow loading,2021-06-15 10:53:01,2
