wage,female
5.73,1
4.28,1
7.96,1
11.57,0
11.42,0
3.91,1
8.76,0
7.69,0
5,1
3.89,1
3.45,1
4.03,0
5.14,0
3,0
7.99,0
6.01,0
5.16,0
11.54,0
10.44,1
7.69,1
7.69,0
6.79,0
6.87,0
17.03,0
10.05,0
15.81,0
14.84,0
19.08,0
8.35,0
9.62,0
5.96,0
5.73,0
6.73,0
8.17,0
12.39,0
9.62,0
4.83,0
7.69,0
12.5,0
2.82,0
12.31,0
13.22,0
16.83,0
11.54,0
4.95,1
7.21,0
11.58,0
15.38,0
6.1,0
7.93,0
9.16,1
6.91,1
20.18,0
9.93,0
7.79,0
5.13,0
10.99,0
6.56,0
10.1,0
10.74,0
16.35,0
4.62,1
7.49,0
19.23,0
4.77,1
7.14,1
14.42,0
9.28,0
29.98,0
32.79,0
9.62,0
8.36,1
21.63,0
15.9,0
5.77,0
20.99,0
23.32,0
4.97,0
6.89,0
5.73,1
5.19,0
7.79,1
8.79,1
9.32,1
8.33,1
10.12,1
1.98,1
8.24,1
5.05,1
6.55,1
4.47,0
7.96,1
6.25,0
4.13,0
6.73,1
7.69,1
4.35,1
7.69,0
4.81,0
5.24,0
2.14,0
4.49,0
3.61,0
5.45,0
5,0
6.73,0
10.05,0
6.54,0
9.2,1
4.62,1
3.37,1
5.54,1
6.11,1
4.99,1
5.88,1
5.66,1
4,0
6.87,1
4.37,1
5.77,0
5.77,0
12.31,0
19.08,0
7.55,1
5.9,1
6.37,1
6.15,0
1.92,1
3.27,0
2.18,0
5.62,0
9.29,1
6.41,1
7.46,1
6.59,1
6.73,1
5.61,1
3.65,1
13.01,0
6.97,0
7.69,1
6.73,0
5.13,1
2.14,1
4.53,1
9.1,1
9.78,1
3.63,1
7.21,1
10.62,1
4.62,1
6.54,1
12.12,1
7.21,1
6.25,1
3.85,1
3.03,1
2.01,1
3.9,1
6.35,1
2,1
7.69,0
2.63,1
5,1
6.54,1
5.19,1
9.75,1
2.81,1
4.62,0
7.33,0
7.69,0
3.26,0
5.77,1
5.59,0
5.13,0
14.74,0
3.67,1
9.73,0
3.46,0
6.37,0
6.58,1
10.15,0
9.23,0
6.75,0
10.22,1
4.76,0
1.76,1
12.73,0
5.85,0
3.17,0
5.99,0
4.62,0
1.8,0
5.95,0
7.46,0
8.7,0
3.75,0
7.69,0
5.24,0
10.1,0
3.75,0
5.79,0
5.06,0
7.96,0
12.82,0
8.46,0
3.76,1
2.86,0
11.81,0
7.69,0
7.21,0
2.88,1
5.73,1
4.49,0
9.57,0
3.61,0
7.77,0
9.23,0
5.58,0
5.34,0
5.17,0
6.41,0
7.4,1
6.75,0
8.46,0
4.61,1
8.61,1
5.24,0
15.38,0
2.37,1
6.72,1
9.4,0
7.84,0
15,0
4.7,1
11.28,0
11.97,0
13.99,0
3,1
3.41,1
9.62,0
6.73,0
9.62,0
5.19,1
4.62,1
5.03,1
9.84,0
5.29,0
10.99,0
7.08,0
8.17,0
5.88,1
7.92,1
4.44,0
6.64,0
15.8,0
9.23,1
12.82,0
14.18,0
11.54,0
9.4,0
10.39,0
5.54,0
7.86,0
8.17,0
4.05,1
7.81,0
2.56,0
12.98,0
41.67,0
4.81,1
1.32,0
3.71,0
4.81,0
4.68,0
8.21,1
4.03,1
4.81,0
15.63,0
7.69,0
7.17,0
8.08,0
9.03,0
6.75,0
8.44,0
6,0
6.15,0
4.1,0
14.17,0
6.41,0
31.09,0
10.29,0
5.06,0
6.37,0
2.98,1
13.28,0
4.2,0
8.92,0
2.63,1
26.24,0
7.54,0
8.65,0
20.99,0
10.26,0
8.55,0
2.08,0
3,0
6.01,0
10.05,0
5.73,0
5.93,0
4.49,0
5.66,0
10.19,0
20.99,0
9.05,0
3.92,0
4.28,1
2.75,1
2.88,0
6.41,0
7.69,0
3.75,1
6.41,0
11.54,0
11.4,0
2.2,1
1.65,1
6.59,0
11.06,0
1.63,0
3.58,1
12.31,0
6.66,0
10.53,1
1.92,1
19.23,0
7.21,0
25.64,0
3.85,0
10.99,0
10.02,0
5.31,0
7.19,0
3.82,0
9.62,0
9.62,0
3.85,0
7.5,0
6.92,0
7.69,0
9.23,0
1.27,1
4.82,0
6.75,0
8.55,0
6.41,0
7.44,0
1.32,1
4.81,1
14.35,0
2.4,0
3.08,0
10.66,0
7.69,0
2.54,0
6.38,0
4.81,0
3.82,1
7.4,0
7.69,0
8.24,1
2.63,0
5.31,0
3,0
5.7,0
17.49,0
3.89,0
16.14,0
18.32,0
10.42,0
24.73,0
7.61,0
10,0
1.68,0
5.1,0
7.72,0
13.46,0
17.48,0
1.92,0
5.09,0
6.37,1
5.45,0
3.82,0
20.86,0
6.2,0
26.22,0
2.5,0
8.1,0
6.21,0
5.24,0
5.57,0
7.6,0
17.49,0
10.1,0
4.33,0
5.38,0
5.7,0
15.73,0
3.16,1
7.63,0
7.69,0
3.57,0
5.92,0
13.12,0
38.86,0
1.92,1
10.12,0
12.82,0
5.49,1
14.79,0
10.19,0
2.11,1
9.28,0
5.33,0
9.13,0
9.89,0
6.37,0
4,1
5.09,0
5.13,0
2.47,1
3.29,1
3.95,1
3.04,1
2.27,1
3.34,1
4.9,0
7.21,0
3.44,0
2.4,1
8.26,0
10.68,0
4.62,0
7.55,0
6.75,0
7.69,0
7.25,0
8.74,0
4.62,0
3.33,0
4.81,1
4.58,0
4.09,1
1.83,1
3.33,0
4.72,1
3.06,0
4.95,0
11.54,0
5.63,0
4.05,1
1.16,1
4.1,1
2.46,1
4.11,1
6.11,1
4.47,1
4.62,1
1.28,1
4.4,1
1.27,1
3.95,1
3.64,0
3.75,1
3.21,1
2.63,1
5.64,0
3,1
1.98,1
4.81,1
2.63,1
3.16,1
6.27,0
4.05,1
1.98,1
2.18,1
2.63,1
2.43,1
1.98,1
4.09,1
2.5,1
2.51,1
3.85,1
5.13,0
4.81,1
4.81,0
7.07,1
2.31,1
3.89,1
1.98,1
3.75,1
1.25,1
7.63,0
6.54,1
13.13,0
4.4,1
7.69,1
3.85,0
7.69,0
5,0
8.94,0
5.09,1
3.16,1
10.58,0
6.87,1
2.14,1
5.13,1
1.95,1
1.92,1
2.65,1
2.62,1
7.91,1
8.55,0
8.44,1
7.96,0
7.21,0
4.67,0
4.28,1
3.61,1
1.92,1
1.68,1
4.46,1
2.11,1
3.81,0
6.25,1
3.08,1
5.39,0
7.33,0
4.92,1
9.89,0
2.98,1
2.92,1
4.17,1
3.34,1
2.26,1
10.12,1
6.35,1
7.8,1
3.75,1
3.59,1
4.52,1
4.47,1
5.29,1
5.29,1
4.81,1
1.98,1
3.17,1
2.88,1
3.47,1
3.92,1
3.46,1
4.95,1
2.18,1
4.1,1
2.62,1
6.59,1
3.96,1
4.81,1
3.75,1
7.34,1
2.93,1
3.47,1
5.64,1
3.75,1
5.45,1
4.09,1
3.75,1
6.73,1
3.28,1
3.57,1
6.01,0
4.62,0
6.84,0
6.41,1
3.44,0
3.85,0
7.15,1
4.05,1
2.91,0
1.92,1
4.42,0
8.49,0
4.28,0
3.33,0
8.46,0
8.65,1
1.16,1
1.98,1
2.57,1
2.58,1
2.51,1
77.72,1
4.33,1
4.09,0
5.73,1
4.81,1
7.69,1
5.73,1
5.88,1
4.27,0
9.62,0
9.36,0
3.95,1
5.73,1
2.6,1
3.75,1
5.61,1
5.73,1
3.85,1
2.88,1
2.75,1
11.57,0
4.33,1
2.75,1
5.34,1
6.56,0
4.68,0
1.98,1
7.96,0
4.87,1
3.16,1
6.25,0
3,1
3.75,1
3.75,1
6.54,1
4.19,0
5.37,0
2.14,1
4.81,1
3.53,1
4.33,1
6.13,0
8.79,0
8.21,0
2.39,0
4.58,0
6.97,0
10.12,0
3.75,0
3.52,0
8.41,0
7.96,0
8.24,0
3.22,0
7.96,0
8.65,0
4.27,0
12.66,0
7.96,0
3.49,0
10.12,0
3.08,0
7.96,0
2.75,0
3.39,0
5.49,0
4.27,0
5.71,0
3.46,1
15.38,0
8.41,0
10.12,0
3.85,0
4.62,0
3.41,0
10.58,0
10.1,0
7.96,0
6.81,0
7.21,0
6.41,0
4.77,0
6.05,0
3.75,0
9.16,0
3.33,0
4.77,0
5.79,0
3.96,1
6.41,0
5.55,0
12.74,0
7.69,0
8.17,0
6.4,0
3.57,1
6.59,0
7.69,0
10.26,0
7.08,0
10.42,0
8.08,0
4.95,0
9.81,0
5.77,0
4.81,0
11.95,0
6.12,0
4.58,0
2.26,1
4.37,0
7.71,0
7.96,1
8.93,0
12.27,0
5.73,1
7.26,0
4.73,0
5.38,0
9,0
4.91,0
14.31,0
9.74,0
4.13,0
3.75,0
5.26,0
21.74,0
8.81,0
8.17,0
7.5,0
3.42,0
