,article_id,product_type_name,colour_group_name
0,108775015,Vest top,Black
1,108775044,Vest top,White
2,110065001,Bra,Black
3,110065002,Bra,White
4,110065011,Bra,Light Beige
5,111565001,Underwear Tights,Black
6,111586001,Leggings/Tights,Black
7,111593001,Underwear Tights,Black
8,111609001,Underwear Tights,Black
9,114428030,Bra,Light Grey
10,118458004,Trousers,Grey
11,118458029,Trousers,Dark Grey
12,118458038,Trousers,Black
13,118458039,Trousers,Dark Blue
14,120129001,Leggings/Tights,Black
15,120129014,Leggings/Tights,Black
16,123173001,Leggings/Tights,Black
17,126589006,Hair clip,Black
18,126589007,Hair clip,Greyish Beige
19,126589010,Hair clip,Light Orange
20,129085001,Leggings/Tights,Black
21,129085026,Leggings/Tights,White
22,129085027,Leggings/Tights,Grey
23,130035001,Umbrella,Black
24,144993001,Underwear Tights,Black
25,145872001,Sweater,Black
26,145872043,Sweater,White
27,145872052,Sweater,Dark Blue
28,145872053,Sweater,Dark Grey
29,146706001,Bodysuit,White
30,146721001,Hair string,Gold
31,146721002,Hair string,Silver
32,146730001,Leggings/Tights,Black
33,148033001,Leggings/Tights,Black
34,148033006,Socks,Beige
35,150959013,Trousers,Dark Grey
36,153115019,Bra,Black
37,153115020,Bra,Light Beige
38,153115021,Bra,White
39,153115039,Bra,Dark Pink
40,153115040,Bra,Yellowish Brown
41,153115043,Bra,Yellowish Brown
42,156224001,Socks,Beige
43,156224002,Unknown,Black
44,156227001,Underwear Tights,Black
45,156227002,Underwear Tights,Beige
46,156231001,Underwear Tights,Black
47,156231002,Leggings/Tights,Beige
48,156610010,Trousers,Black
49,158340001,Leggings/Tights,Black
50,160442007,Socks,Black
51,160442010,Socks,White
52,160442043,Socks,Light Grey
53,162074071,Socks,Black
54,163734002,Top,Black
55,174057028,Pyjama jumpsuit/playsuit,Light Pink
56,174057032,Pyjama jumpsuit/playsuit,Dark Blue
57,174057033,Pyjama jumpsuit/playsuit,Light Pink
58,176209023,Hoodie,Black
59,176209033,Hoodie,Yellowish Brown
60,176209044,Hoodie,Dark Yellow
61,176754001,Hair/alice band,Black
62,176754003,Hair/alice band,Yellowish Brown
63,176754019,Hair/alice band,Light Orange
64,179123001,Leggings/Tights,Black
65,179123040,Leggings/Tights,Dark Grey
66,179208001,Leggings/Tights,Black
67,179393001,Socks,Black
68,179393018,Socks,Dark Grey
69,179950001,Belt,Black
70,179950002,Belt,Yellowish Brown
71,179950017,Belt,Black
72,181448022,Socks,Black
73,181448102,Socks,Light Pink
74,181448103,Socks,Other Pink
75,181448104,Socks,Dark Purple
76,181448105,Socks,Black
77,181448106,Socks,Red
78,181448109,Socks,Yellow
79,182909001,Leggings/Tights,Black
80,183815013,Belt,Black
81,184121021,Bikini top,White
82,184583014,Underwear bottom,Light Grey
83,186262001,Hair clip,Black
84,186262006,Hair clip,Greyish Beige
85,186264014,Hair string,Black
86,186264016,Hair string,Beige
87,186266004,Hair string,Black
88,186267001,Hair clip,Black
89,186372011,Trousers,Black
90,186372042,Trousers,Dark Blue
91,186372045,Trousers,Dark Blue
92,186595001,Socks,Black
93,188183001,Swimsuit,Black
94,188183008,Swimsuit,Dark Grey
95,188183009,Swimsuit,White
96,188183010,Swimsuit,Dark Red
97,188183012,Swimsuit,Light Orange
98,188183014,Swimsuit,Dark Grey
99,188183015,Swimsuit,Dark Green
100,188183016,Swimsuit,Black
101,188183018,Swimsuit,Black
102,188183020,Swimsuit,Dark Blue
103,188183021,Swimsuit,Red
104,188183022,Swimsuit,Light Beige
105,188183023,Swimsuit,Light Blue
106,189383001,Bodysuit,White
107,189616001,Leggings/Tights,Black
108,189616006,Leggings/Tights,Black
109,189616007,Leggings/Tights,Black
110,189616008,Leggings/Tights,Black
111,189616009,Leggings/Tights,Dark Blue
112,189616014,Leggings/Tights,Black
113,189616015,Leggings/Tights,Black
114,189616016,Leggings/Tights,Black
115,189616028,Leggings/Tights,Black
116,189616032,Leggings/Tights,Black
117,189616038,Leggings/Tights,Dark Grey
118,189626001,Skirt,Black
119,189634001,Leggings/Tights,Black
120,189654001,Skirt,Black
121,189654045,Skirt,Grey
122,189654046,Skirt,Red
123,189654047,Skirt,Greenish Khaki
124,189691044,Sweater,Grey
125,189691067,Sweater,Light Orange
126,190021001,Socks,White
127,190021003,Socks,Black
128,190021021,Socks,Beige
129,192960023,Hat/beanie,Black
130,194037001,Leggings/Tights,Black
131,194037002,Leggings/Tights,Grey
132,194270002,Vest top,Black
133,198518010,Kids Underwear top,Black
134,198518017,Kids Underwear top,Grey
135,198518023,Kids Underwear top,Greenish Khaki
136,198714001,Leggings/Tights,Black
137,198714006,Leggings/Tights,Dark Blue
138,199119038,Shorts,Dark Blue
139,200182001,Underwear Tights,Black
140,200182002,Underwear Tights,Black
141,200761028,Vest top,Dark Blue
142,200761029,Vest top,Black
143,201219001,Underwear Tights,Black
144,201219003,Underwear Tights,Grey
145,201219011,Underwear Tights,Dark Red
146,201219012,Underwear Tights,Dark Green
147,201219013,Underwear Tights,Beige
148,201219014,Underwear Tights,Dark Red
149,201219016,Underwear Tights,Dark Orange
150,201219017,Underwear Tights,Dark Blue
151,203027045,T-shirt,Off White
152,204892029,Cap/peaked,Dark Grey
153,205225001,Bikini top,Black
154,211143037,Pyjama set,Blue
155,212042043,Sneakers,Black
156,212629004,Dress,Black
157,212629033,Dress,White
158,212629035,Dress,Red
159,212629040,Dress,Dark Red
160,212629043,Dress,Red
161,212629047,Dress,Greenish Khaki
162,212629048,Dress,Dark Pink
163,212629049,Dress,Orange
164,212629050,Dress,Grey
165,212629051,Dress,White
166,212766041,Trousers,Greenish Khaki
167,212766043,Trousers,Black
168,212766046,Trousers,Dark Blue
169,213690001,Hair string,Black
170,213691083,Hair string,Light Grey
171,214844001,Hair clip,Black
172,214844002,Hair clip,Greyish Beige
173,214844003,Hair clip,Gold
174,214844008,Hair clip,Light Orange
175,215303001,Sunglasses,Yellowish Brown
176,215303002,Sunglasses,Black
177,215303005,Sunglasses,Black
178,215337003,T-shirt,Black
179,215337039,T-shirt,Greenish Khaki
180,215589001,Underwear Tights,Black
181,215589002,Underwear Tights,Black
182,216081011,Cardigan,Dark Grey
183,216961011,Hair/alice band,Light Orange
184,217727002,Socks,Beige
185,217727003,Socks,Black
186,217727018,Socks,Beige
187,218354001,Vest top,Black
188,218354020,Vest top,Grey
189,218354021,Vest top,White
190,218354045,Vest top,Beige
191,218354047,Vest top,Off White
192,218829002,Gloves,Black
193,218829014,Gloves,Dark Pink
194,218829015,Gloves,Yellowish Brown
195,219075014,Trousers,Dark Grey
196,219075021,Trousers,Black
197,219075023,Trousers,Greenish Khaki
198,220094001,Dress,Black
199,220094010,Dress,Greenish Khaki
200,220094011,Dress,Dark Blue
201,220094015,Dress,Light Beige
202,220094016,Dress,Off White
203,220094018,Dress,Grey
204,220094019,Dress,Blue
205,220094020,Dress,Dark Purple
206,220094021,Dress,Dark Orange
207,220365001,Sunglasses,Yellowish Brown
208,220365002,Sunglasses,Light Orange
209,220365004,Sunglasses,Dark Green
210,220365007,Sunglasses,Light Orange
211,224314007,Hat/beanie,Black
212,224314011,Hat/beanie,Light Orange
213,224314013,Hat/beanie,Beige
214,224314016,Hat/beanie,Beige
215,224314017,Hat/beanie,Light Grey
216,224314018,Hat/beanie,Light Beige
217,224337001,Gloves,Black
218,224337008,Gloves,Light Grey
219,224521007,Leggings/Tights,Black
220,224606019,Belt,Black
221,224606025,Belt,Light Orange
222,224606031,Belt,Gold
223,225784001,T-shirt,Black
224,225784039,T-shirt,Other Orange
225,226959007,Socks,Black
226,226959008,Socks,Beige
227,226959009,Socks,Dark Red
228,228257001,Underwear Tights,Black
229,228257002,Underwear Tights,Beige
230,228257003,Underwear Tights,Beige
231,228257004,Underwear Tights,Yellowish Brown
232,228257005,Underwear Tights,Dark Grey
233,228257008,Underwear Tights,Yellowish Brown
234,233091003,Gloves,Black
235,233091019,Gloves,Light Pink
236,233091020,Gloves,Black
237,233091021,Gloves,Black
238,233091022,Gloves,Dark Pink
239,234187001,Cap/peaked,Black
240,234421001,Underwear Tights,Black
241,234421002,Underwear Tights,Dark Red
242,234432001,Underwear Tights,Black
243,234432002,Underwear Tights,Beige
244,234622004,Top,Grey
245,235596002,Earring,White
246,237032003,Leggings/Tights,Black
247,237222001,Top,Black
248,237222012,Top,White
249,237347004,Hoodie,Black
250,237347024,Hoodie,Light Blue
251,237347028,Hoodie,Purple
252,237347036,Hoodie,Light Pink
253,237347037,Hoodie,Dark Blue
254,237347039,Hoodie,Beige
255,237347040,Hoodie,Light Blue
256,237347043,Hoodie,Beige
257,237347044,Hoodie,Light Turquoise
258,237347045,Hoodie,White
259,237347052,Hoodie,Light Orange
260,237347053,Hoodie,Greenish Khaki
261,237347055,Hoodie,Grey
262,237347059,Hoodie,Dark Purple
263,237347063,Hoodie,Pink
264,238197014,Top,Dark Pink
265,240561001,Underwear Tights,Black
266,240670058,T-shirt,Dark Blue
267,240670060,T-shirt,Light Orange
268,241412038,Leggings/Tights,Dark Orange
269,241412043,Leggings/Tights,Dark Beige
270,241412044,Leggings/Tights,Red
271,241412045,Leggings/Tights,Dark Green
272,241412046,Leggings/Tights,Black
273,241412052,Leggings/Tights,Black
274,241590001,Blazer,Black
275,241602003,Blazer,Black
276,241602023,Blazer,Dark Grey
277,241602024,Blazer,Dark Blue
278,241602028,Blazer,Dark Blue
279,243613004,Leggings/Tights,Black
280,243937001,Socks,Black
281,243937018,Socks,Dark Grey
282,243937023,Socks,Dark Red
283,243937024,Socks,Beige
284,243937025,Socks,Black
285,243937028,Socks,Black
286,244267001,Sweater,Dark Blue
287,244267004,Sweater,White
288,244267021,Sweater,Light Blue
289,244267027,Sweater,Dark Beige
290,244267028,Sweater,Dark Blue
291,244267029,Sweater,Light Pink
292,244267032,Sweater,Black
293,249136006,Trousers,Light Blue
294,249136015,Trousers,Light Blue
295,249136020,Trousers,Blue
296,249136022,Trousers,Dark Blue
297,249136023,Trousers,Light Blue
298,249136025,Trousers,Blue
299,250099001,Underwear Tights,Black
300,250099002,Underwear Tights,Grey
301,250457010,Shorts,Blue
302,251510001,Underwear Tights,Black
303,252298002,Trousers,Black
304,252298005,Trousers,Light Grey
305,252298006,Trousers,Dark Red
306,252298014,Trousers,White
307,252298015,Trousers,Blue
308,253176016,Swimwear bottom,Black
309,253448001,Bra,Black
310,253448002,Bra,White
311,253448003,Bra,Light Beige
312,253448059,Bra,Yellowish Brown
313,253448062,Bra,Yellowish Brown
314,254303054,Socks,Black
315,254457038,Dress,Dark Blue
316,254940026,Trousers,Black
317,255396006,Cardigan,Grey
318,255396023,Cardigan,Greenish Khaki
319,255396033,Cardigan,Pink
320,256151014,Trousers,Black
321,256151015,Trousers,Dark Grey
322,257430035,Vest top,Light Pink
323,257430036,Vest top,Off White
324,260736030,T-shirt,Green
325,262277009,Trousers,Dark Blue
326,262277011,Trousers,Black
327,262277026,Trousers,Greenish Khaki
328,262277029,Trousers,Dark Blue
329,264984001,Top,Black
330,265069012,T-shirt,White
331,265069020,T-shirt,Green
332,265069021,T-shirt,Orange
333,265069024,T-shirt,Light Blue
334,265071020,T-shirt,Light Blue
335,265071021,T-shirt,Orange
336,265630004,Socks,Black
337,265630006,Socks,Light Beige
338,266168001,Underwear Tights,Black
339,266168003,Underwear Tights,Beige
340,266873001,Socks,Black
341,266873006,Socks,Light Beige
342,266873009,Socks,Light Beige
343,266875001,Socks,Black
344,266875006,Socks,White
345,266875012,Socks,Dark Blue
346,266875022,Socks,Dark Blue
347,266875024,Socks,Pink
348,268305001,Sunglasses,Black
349,268305006,Sunglasses,Yellowish Brown
350,268305007,Sunglasses,Beige
351,268450034,Vest top,Orange
352,268450035,Vest top,Dark Blue
353,269342025,Top,Grey
354,269342027,Top,White
355,270375001,Sunglasses,Black
356,270375004,Sunglasses,Beige
357,270375005,Sunglasses,Yellowish Brown
358,270375006,Sunglasses,Light Beige
359,270381001,Sunglasses,Yellowish Brown
360,270381003,Sunglasses,Black
361,270381004,Sunglasses,Gold
362,270381007,Sunglasses,Pink
363,270381013,Sunglasses,Light Orange
364,270382001,Sunglasses,Yellowish Brown
365,270382004,Sunglasses,Light Orange
366,272591001,Dress,Black
367,272591016,Dress,Grey
368,276242025,Dress,Yellow
369,278038005,Leggings/Tights,Black
370,278811002,Underwear bottom,Black
371,278811006,Underwear bottom,Black
372,278811007,Underwear bottom,Light Beige
373,278811009,Underwear bottom,Yellowish Brown
374,278811010,Underwear bottom,Yellowish Brown
375,278811011,Underwear bottom,Beige
376,282832001,Jacket,Black
377,283236026,Shirt,Black
378,283937018,Pyjama set,Grey
379,284985037,Top,Dark Blue
380,284985045,Top,Other Pink
381,287645002,Underwear Tights,Black
382,287645003,Underwear Tights,White
383,287645027,Underwear Tights,Light Pink
384,288825012,Underwear Tights,Grey
385,288825018,Underwear Tights,Grey
386,288859004,Underwear Tights,Black
387,289597015,Umbrella,Black
388,289597016,Umbrella,Light Pink
389,290022001,Cap/peaked,Black
390,290519008,Cardigan,Dark Grey
391,291333012,Underwear Tights,Black
392,291338017,Underwear Tights,White
393,291338018,Underwear Tights,Dark Blue
394,291338020,Underwear Tights,Dark Grey
395,292453013,Earring,Gold
396,292453028,Earring,Dark Green
397,292551001,Hat/beanie,Black
398,292551012,Hat/beanie,Light Pink
399,292551014,Hat/beanie,Grey
400,293244001,Underwear Tights,Black
401,293244002,Underwear Tights,White
402,293244003,Underwear Tights,Beige
403,293433002,Underwear Tights,Black
404,293433018,Underwear Tights,Light Pink
405,293433024,Underwear Tights,Red
406,293433026,Underwear Tights,Dark Blue
407,293433027,Underwear Tights,Grey
408,293433045,Underwear Tights,Off White
409,293510001,Underwear Tights,White
410,293510002,Underwear Tights,Black
411,293510009,Underwear Tights,Grey
412,294008002,Costumes,Black
413,294008005,Costumes,White
414,294008044,T-shirt,Dark Pink
415,294008047,T-shirt,White
416,294008050,T-shirt,White
417,294008056,T-shirt,Greenish Khaki
418,294076007,Trousers,Black
419,294076018,Trousers,Blue
420,295873003,Gloves,Black
421,296366006,Hair/alice band,Off White
422,296366013,Hair/alice band,Orange
423,296366032,Hair/alice band,Dark Pink
424,296471021,Underwear bottom,Other Pink
425,296476012,Robe,White
426,296476014,Robe,Dark Grey
427,297067002,Leggings/Tights,Black
428,297078001,Underwear Tights,Black
429,297078002,Underwear Tights,Black
430,297078005,Underwear Tights,Beige
431,297791001,Socks,Black
432,297791002,Socks,Black
433,297796002,Shorts,Black
434,297898002,Trousers,Blue
435,299733008,Dress,Other
436,299768001,Gloves,Light Grey
437,299768002,Gloves,Black
438,299841003,Gloves,Black
439,300024006,Trousers,Dark Grey
440,300024009,Trousers,Dark Blue
441,300024013,Trousers,Blue
442,300024016,Trousers,Dark Blue
443,300024037,Trousers,White
444,300024042,Trousers,Dark Blue
445,300024045,Trousers,White
446,300024047,Trousers,Blue
447,300024048,Trousers,Dark Blue
448,300024056,Trousers,Light Blue
449,300024058,Trousers,Dark Grey
450,300024063,Trousers,Blue
451,300024064,Trousers,Dark Blue
452,300637004,Gloves,Black
453,300696001,Gloves,Black
454,300908002,Jacket,Black
455,300908003,Jacket,Black
456,300908004,Jacket,Dark Grey
457,300908010,Jacket,Dark Red
458,301213001,Bra,Black
459,301213011,Bra,Light Pink
460,301213013,Bra,Black
461,301213014,Bra,Light Beige
462,301227002,Socks,Black
463,301227017,Socks,Black
464,301227023,Socks,Dark Blue
465,301517018,Hair/alice band,Greenish Khaki
466,301517036,Hair/alice band,Dark Blue
467,301656013,Dress,Blue
468,301656017,Dress,Green
469,301656026,Dress,Blue
470,301656028,Dress,Blue
471,301687001,Underwear Tights,Black
472,301687012,Underwear Tights,Light Beige
473,302334001,Belt,Dark Blue
474,304692003,Socks,Grey
475,304766008,Socks,Light Orange
476,304766009,Socks,Dark Grey
477,304778008,Socks,Red
478,304778009,Socks,Grey
479,304778010,Socks,Dark Red
480,304778011,Socks,White
481,304786005,Socks,Dark Grey
482,304786006,Socks,Light Pink
483,304786007,Socks,Off White
484,304786008,Socks,Dark Grey
485,305304008,Shorts,Light Blue
486,305304010,Shorts,Blue
487,305304019,Shorts,Black
488,305304020,Shorts,Blue
489,305775003,Underwear Tights,Red
490,305775005,Underwear Tights,Black
491,305775022,Underwear Tights,Off White
