account number;name;sku;quantity;unit price;ext price;date
740150;Barton LLC;B1-20000;39;86.69;3380.91;01.01.2014 7:21
714466;Trantow-Barrows;S2-77896;-1;63.16;-63.16;01.01.2014 10:00
218895;Kulas Inc;B1-69924;23;90.7;2086.1;01.01.2014 13:24
307599;Kassulke, Ondricka and Metz;S1-65481;41;21.май;863.05;01.01.2014 15:05
412290;Jerde-Hilpert;S2-34077;6;83.21;499.26;01.01.2014 23:26
714466;Trantow-Barrows;S2-77896;17;87.63;1489.71;02.01.2014 10:07
218895;Kulas Inc;B1-65551;2;31.янв;62.2;02.01.2014 10:57
729833;Koepp Ltd;S1-30248;8;33.25;266;03.01.2014 6:32
714466;Trantow-Barrows;S1-50961;22;84.09;1849.98;03.01.2014 11:29
737550;Fritsch, Russel and Anderson;S2-82423;14;81.92;1146.88;03.01.2014 19:07
146832;Kiehn-Spinka;S2-82423;15;67.74;1016.1;03.01.2014 19:39
688981;Keeling LLC;S2-00301;7;20.26;141.82;04.01.2014 0:02
786968;Frami, Hills and Schmidt;S2-23246;6;61.31;367.86;04.01.2014 6:51
307599;Kassulke, Ondricka and Metz;S2-10342;17;дек.44;211.48;04.01.2014 7:53
737550;Fritsch, Russel and Anderson;B1-53102;23;71.56;1645.88;04.01.2014 8:57
239344;Stokes LLC;S1-06532;34;71.51;2431.34;04.01.2014 11:34
672390;Kuhn-Gusikowski;S1-30248;14;72.75;1018.5;04.01.2014 19:59
239344;Stokes LLC;B1-50809;14;16.23;227.22;04.01.2014 22:14
141962;Herman LLC;S1-82801;10;94.3;943;05.01.2014 15:12
412290;Jerde-Hilpert;S2-00301;33;31.18;1028.94;05.01.2014 22:39
424914;White-Trantow;S2-00301;45;96.95;4362.75;06.01.2014 8:20
527099;Sanford and Sons;S1-30248;24;50.29;1206.96;06.01.2014 14:14
786968;Frami, Hills and Schmidt;B1-04202;2;52.41;104.82;06.01.2014 15:53
714466;Trantow-Barrows;S1-30248;-1;16.97;-16.97;06.01.2014 18:27
786968;Frami, Hills and Schmidt;S2-83881;34;60.41;2053.94;06.01.2014 23:38
729833;Koepp Ltd;S2-78676;5;14.75;73.75;07.01.2014 0:29
737550;Fritsch, Russel and Anderson;B1-53636;42;42.06;1766.52;08.01.2014 0:02
672390;Kuhn-Gusikowski;S2-83881;42;63.87;2682.54;08.01.2014 10:00
714466;Trantow-Barrows;B1-38851;4;60.04;240.16;08.01.2014 11:50
729833;Koepp Ltd;B1-86481;6;81.79;490.74;08.01.2014 17:46
642753;Pollich LLC;S1-93683;4;87.18;348.72;09.01.2014 0:57
714466;Trantow-Barrows;B1-33087;32;19.56;625.92;09.01.2014 10:16
737550;Fritsch, Russel and Anderson;S1-27722;20;29.54;590.8;09.01.2014 13:20
218895;Kulas Inc;S1-06532;3;22.36;67.08;09.01.2014 23:58
307599;Kassulke, Ondricka and Metz;S2-78676;35;33.04;1156.4;10.01.2014 5:26
527099;Sanford and Sons;S1-27722;48;43.4;2083.2;10.01.2014 10:59
218895;Kulas Inc;S2-34077;16;73.04;1168.64;10.01.2014 12:07
383080;Will LLC;S2-23246;23;59.98;1379.54;10.01.2014 13:44
383080;Will LLC;B1-05914;25;98.46;2461.5;10.01.2014 15:12
